"DIA_SEMANA","HORA","TEMPERATURA","LUZ","UMIDADE","QUANT_PESSOAS","classes"
"Sexta","Comercial","Normal","Escuro","Umido","Vazio","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Quente","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Comercial","Normal","Normal","Umido","Normal","Razoavel"
"Sexta","Noite","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Noite","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Noite","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Noite","Normal","Normal","Umido","Normal","Agradavel"
"Sexta","Noite","Normal","Normal","Umido","Normal","Agradavel"
